# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PCX interaction (ver1.0).
# Generated: 2025-10-29 16:18:43
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
34 28 -542.68232000 -0.18567163 NaN NaN NaN
35 28 -550.70259000 -0.14989220 NaN NaN NaN
36 28 -560.18831000 -0.09530148 NaN NaN NaN
37 28 -567.83163000 -0.00001663 NaN NaN NaN
38 28 -577.02794000 -0.00002323 NaN NaN NaN
39 28 -583.60363000 -0.00020971 NaN NaN NaN
40 28 -592.48404000 0.00000141 0.06932000 7.265146 74.52
41 28 -597.15868000 -0.03505505 4.39526000 3.484888 34.29
42 28 -604.39532000 0.00004661 2.68424000 3.237656 69.88
43 28 -608.97543000 -0.02104670 5.79813000 2.411113 60.11
44 28 -615.01996000 0.00012950 5.39419000 2.094177 56.04
45 28 -619.23978000 0.00266609 8.06963000 1.632891 52.49
46 28 -624.83269000 0.00019207 7.77162000 1.309841 46.38
47 28 -628.71357000 0.03032155 9.97918000 0.957304 40.53
48 28 -633.93707000 0.00013736 9.35630000 0.697169 38.48
49 28 -637.10038000 0.04736656 11.40505000 0.428575 33.70
50 28 -642.30043000 0.00007049 10.10904000 0.248830 33.34
51 28 -643.15285000 0.03943712 14.36011000 -0.802373 91.08
52 28 -645.58251000 -0.00003889 13.79969000 -1.071829 70.42
53 28 -646.38402000 -0.01033095 15.76998000 -1.322074 78.05
54 28 -648.22660000 -0.00003973 15.25193000 -1.503518 68.43
55 28 -648.65441000 0.02652094 17.31136000 -1.679128 71.15
56 28 -650.26782000 -0.00002769 16.67385000 -1.817263 64.46
57 28 -650.46217000 -0.00001083 18.57155000 -1.937322 65.97
58 28 -651.69825000 -0.00001703 17.73702000 -2.085589 58.51
59 28 -651.43788000 -0.01651607 19.81688000 -2.215520 55.96
60 28 -652.55505000 -0.00000836 18.91311000 -2.330447 51.87
61 28 -652.02573000 0.00901129 20.89660000 -2.433498 52.24
62 28 -652.94015000 0.00000920 19.94997000 -2.548984 46.92
63 28 -652.15787000 -0.08392295 21.92185000 -2.665225 47.01
64 28 -652.96287000 0.00002663 20.69627000 -2.733977 44.63
65 28 -651.97697000 -0.00065127 22.69702000 -2.802058 47.78
66 28 -652.67510000 0.00001976 21.40650000 -2.888506 44.45
67 28 -651.46303000 0.01729254 23.35736000 -2.945853 47.80
68 28 -652.02713000 0.00001079 21.90634000 -3.020045 45.70
69 28 -650.04298000 -0.03197310 24.63972000 -3.074498 48.73
70 28 -650.69948000 0.00000630 22.79682000 -3.129176 47.77
39 29 -591.77136000 -0.05924390 2.15265000 3.857214 0.00
40 29 -600.77194000 -0.01634636 1.14238000 9.347314 77.75
41 29 -606.29756000 -0.04952803 5.39358000 5.517069 0.01
42 29 -613.99156000 0.07704119 3.75513000 3.810597 0.00
43 29 -619.63215000 0.11047051 6.41758000 2.660543 0.16
44 29 -626.52741000 0.13248005 5.63000000 2.134402 0.00
45 29 -631.82231000 0.15436116 8.09153000 1.555849 17.29
46 29 -637.91075000 0.14867263 8.11558000 1.295242 26.34
47 29 -642.51137000 0.14660016 10.26679000 1.017571 27.95
48 29 -647.72343000 0.11480475 10.23112000 0.896214 28.27
49 29 -651.62747000 0.09473989 11.86389000 0.850542 20.01
50 29 -656.73096000 0.04483133 11.16785000 0.792717 14.47
51 29 -658.60020000 0.09583266 15.16458000 0.098539 25.34
52 29 -661.37200000 0.12140456 14.37176000 -0.700042 9.66
53 29 -662.69653000 0.13725677 16.42065000 -1.132419 56.52
54 29 -665.18377000 0.15383846 15.82610000 -1.516110 44.51
55 29 -666.15967000 0.16809152 18.03384000 -1.649951 50.92
56 29 -668.25172000 0.16827159 17.48568000 -1.868146 44.16
57 29 -668.65327000 0.15479967 19.64672000 -1.966398 48.40
58 29 -670.47276000 0.16018887 18.61951000 -2.113737 43.54
59 29 -670.68616000 0.16017946 20.63809000 -2.266761 44.38
60 29 -672.14033000 -0.19612973 19.83350000 -2.361694 42.39
61 29 -672.10812000 -0.18826478 21.85227000 -2.440730 45.36
62 29 -673.29772000 -0.17638360 21.03914000 -2.522189 43.40
63 29 -672.87714000 -0.16560867 23.04954000 -2.583246 46.44
64 29 -673.89199000 -0.14720022 21.99521000 -2.664514 43.83
65 29 -673.29960000 -0.12907746 23.96035000 -2.725478 45.24
66 29 -674.03839000 -0.10561176 22.90897000 -2.794320 44.20
67 29 -673.15147000 -0.08602596 24.85814000 -2.854091 47.11
68 29 -673.90070000 0.05210183 23.53591000 -2.917940 44.90
69 29 -672.71430000 -0.06174408 25.87316000 -2.981595 47.68
70 29 -673.31127000 -0.02671685 24.47417000 -3.034256 47.51
38 30 -593.14201000 -0.10071753 NaN NaN NaN
39 30 -601.13232000 -0.05899776 NaN NaN NaN
40 30 -610.90914000 0.00005897 NaN NaN NaN
41 30 -616.96469000 -0.04740937 NaN NaN NaN
42 30 -625.26773000 0.00032246 NaN NaN NaN
43 30 -631.37541000 0.13028301 NaN NaN NaN
44 30 -639.13184000 0.17409728 2.29033000 2.843790 3.27
45 30 -645.24433000 0.19107914 4.56137000 2.095119 5.08
46 30 -651.99616000 0.19096385 4.43775000 1.658057 6.57
47 30 -657.17255000 0.17856199 6.71282000 1.302019 13.41
48 30 -662.70936000 0.14524714 7.07901000 1.188974 24.41
49 30 -667.11681000 0.09862715 9.02327000 1.289438 46.58
50 30 -672.98278000 0.00005785 8.06399000 1.287318 67.50
51 30 -674.96176000 0.10126697 12.22964000 -0.103336 76.00
52 30 -678.33518000 0.15797931 11.35857000 -0.716659 24.34
53 30 -680.22787000 0.19631487 13.33481000 -1.109779 24.61
54 30 -683.41151000 0.19985498 12.58572000 -1.356897 23.40
55 30 -684.95540000 0.21439678 14.75360000 -1.545109 29.29
56 30 -687.51799000 0.21825445 14.24766000 -1.709041 28.00
57 30 -688.31027000 0.22451511 16.59200000 -1.887982 33.05
58 30 -690.54225000 0.21095752 15.72534000 -1.981049 31.19
59 30 -691.19183000 -0.21607344 17.96610000 -2.084611 37.21
60 30 -693.17839000 -0.21351456 17.06879000 -2.190765 35.14
61 30 -693.55486000 -0.20583261 19.18314000 -2.275069 39.03
62 30 -695.14468000 -0.19881886 18.35833000 -2.368205 37.26
63 30 -695.10520000 -0.19217147 20.42827000 -2.433582 41.21
64 30 -696.47795000 -0.18196058 19.42687000 -2.525121 39.11
65 30 -696.16536000 -0.15246882 21.53464000 -2.583645 41.13
66 30 -697.22761000 -0.14474272 20.60476000 -2.659613 40.56
67 30 -696.65461000 -0.15412015 22.54858000 -2.732924 43.32
68 30 -697.80546000 0.00018884 21.11379000 -2.792554 41.08
69 30 -697.00344000 -0.05656876 23.04922000 -2.854180 44.15
70 30 -698.23945000 0.00001998 21.23438000 -2.908060 44.34
43 31 -640.64017000 0.14907503 3.63856000 2.430499 0.03
44 31 -649.02370000 0.18516755 2.81614000 2.435494 0.10
45 31 -655.65191000 0.19523918 5.22288000 3.084998 0.10
46 31 -663.10337000 0.19558324 5.00712000 1.957088 3.92
47 31 -669.00637000 0.18318410 7.27614000 1.663589 4.20
48 31 -675.35808000 0.16145171 7.40000000 1.306215 13.08
49 31 -680.26477000 0.11724357 9.37824000 1.224046 42.39
50 31 -686.40940000 -0.01555685 8.52165000 1.365703 86.81
51 31 -688.91175000 0.12325225 12.73446000 0.075863 57.36
52 31 -692.78068000 0.17210562 11.81691000 -0.582636 13.32
53 31 -695.21523000 0.19962283 13.78145000 -0.927694 16.89
54 31 -698.92700000 0.20858686 13.02628000 -1.198425 15.12
55 31 -700.98365000 0.22091368 15.21840000 -1.377300 21.95
56 31 -704.12027000 0.22770860 14.64330000 -1.561242 22.10
57 31 -705.48559000 0.23200863 16.99932000 -1.733535 27.40
58 31 -708.37593000 -0.23500854 16.05656000 -1.854880 29.35
59 31 -709.46518000 -0.22687381 18.14281000 -1.939296 33.02
60 31 -711.95600000 -0.22958093 17.10003000 -2.061980 32.32
61 31 -712.72101000 -0.22986650 19.34487000 -2.150149 34.59
62 31 -714.75147000 -0.22115236 18.53307000 -2.251065 35.18
63 31 -715.12282000 -0.22044403 20.59873000 -2.353074 39.23
64 31 -716.91800000 -0.21742148 19.71143000 -2.419528 38.27
65 31 -717.05037000 -0.20822989 21.70897000 -2.507095 41.28
66 31 -718.42119000 -0.21346148 20.79773000 -2.564997 41.26
67 31 -718.13725000 -0.18893211 22.97020000 -2.620866 43.38
68 31 -719.27066000 -0.19181742 21.90496000 -2.688765 43.35
69 31 -718.69183000 -0.18191159 23.98969000 -2.755183 43.74
70 31 -720.00486000 -0.01036698 22.52615000 -2.809526 44.40
71 31 -719.10524000 -0.04452214 24.66879000 -2.866881 46.80
72 31 -719.98615000 0.02758316 23.35665000 -2.899637 47.11
73 31 -719.16739000 0.17703324 25.40900000 -2.945475 50.48
74 31 -719.87340000 0.17142429 24.28828000 -2.989432 50.66
75 31 -718.86940000 0.15716893 26.36028000 -3.051209 52.53
76 31 -719.33880000 0.17172472 25.24759000 -3.083657 53.04
77 31 -718.19328000 0.17340257 27.24477000 -3.135943 55.03
78 31 -718.08705000 0.18587620 26.57460000 -3.157302 54.93
42 32 -643.49673000 0.05681489 NaN NaN NaN
43 32 -651.05784000 0.13826535 NaN NaN NaN
44 32 -660.09279000 0.17240714 NaN NaN NaN
45 32 -667.32849000 0.18435868 NaN NaN NaN
46 32 -675.50051000 0.18625031 NaN NaN NaN
47 32 -681.97608000 0.18154832 NaN NaN NaN
48 32 -688.86101000 0.16550759 4.15803000 2.580470 25.40
49 32 -694.14905000 0.11736462 6.54442000 2.567199 75.94
50 32 -700.86421000 0.00032905 5.65635000 2.467086 99.99
51 32 -703.81559000 0.11426293 9.85601000 0.512697 56.51
52 32 -708.21468000 0.16101124 8.87734000 -0.310543 8.09
53 32 -711.17128000 0.19418280 10.79958000 -0.699976 11.06
54 32 -715.42005000 0.20589788 9.98585000 -0.968401 8.18
55 32 -717.98157000 0.22045310 12.15129000 -1.164746 12.87
56 32 -721.70291000 0.22855809 11.46470000 -1.346973 12.53
57 32 -723.65049000 0.23385484 13.78027000 -1.517775 16.94
58 32 -726.82599000 -0.24289215 13.06066000 -1.631581 20.21
59 32 -728.27403000 -0.23355578 15.52810000 -1.730756 25.14
60 32 -731.28388000 -0.24069811 14.45173000 -1.864593 24.42
61 32 -732.50254000 -0.24016502 16.67904000 -1.963302 28.23
62 32 -734.93955000 -0.23489419 15.92242000 -2.071871 28.16
63 32 -735.84743000 -0.23376226 17.88366000 -2.183094 32.84
64 32 -737.97734000 -0.23259673 17.07866000 -2.254394 32.29
65 32 -738.43692000 -0.21647553 19.22197000 -2.348414 35.55
66 32 -740.32545000 -0.23069098 18.08332000 -2.413528 36.52
67 32 -740.39362000 -0.23862681 20.48600000 -2.502799 40.95
68 32 -741.89952000 -0.21683846 19.57649000 -2.549459 39.85
69 32 -741.74901000 -0.20662776 21.48626000 -2.626054 42.79
70 32 -742.99203000 0.00003874 20.40081000 -2.668126 40.22
71 32 -742.56080000 -0.05269488 22.34276000 -2.737774 44.61
