# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PC1 interaction (ver1.0).
# Generated: 2025-11-03 07:18:58
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
70 28 -663.88294000 0.00000247 21.34734000 -3.050934 50.84
39 29 -592.94254000 -0.05614592 1.70950000 9.274440 29.04
40 29 -602.05315000 -0.01653480 0.94516000 8.653617 13.51
41 29 -607.92509000 0.06366336 4.91506000 4.642590 25.82
42 29 -615.46930000 0.08493755 3.63657000 3.620144 0.00
43 29 -621.48442000 0.11857403 5.58389000 2.550416 5.07
44 29 -628.44254000 0.14100304 5.42163000 2.023584 11.37
45 29 -634.27527000 0.16252798 7.56374000 1.018573 18.93
46 29 -640.39563000 0.15931090 7.98694000 1.199714 41.50
47 29 -645.20338000 0.15182144 10.02958000 0.962072 44.56
48 29 -650.46617000 0.12112600 10.13774000 0.856858 54.29
49 29 -654.76592000 0.09466173 11.37251000 0.778995 57.28
50 29 -660.03401000 -0.04207661 10.75187000 0.714209 65.55
51 29 -662.01939000 0.10014141 14.66178000 -0.243225 54.65
52 29 -664.83900000 0.14142027 14.07358000 -0.946020 36.39
53 29 -666.52756000 0.17854870 16.13210000 -1.395182 41.62
54 29 -669.24366000 0.18106558 15.78671000 -1.626407 42.04
55 29 -670.55711000 0.19839143 17.70377000 -1.794135 45.02
56 29 -672.72863000 0.27519957 17.56322000 -1.998441 35.24
57 29 -673.70064000 0.21274700 19.40802000 -2.080975 44.77
58 29 -676.26661000 -0.24629524 18.20217000 -2.139057 38.27
59 29 -676.90003000 -0.23140402 19.85342000 -2.227726 44.63
60 29 -678.76101000 -0.22514239 18.96487000 -2.324031 42.13
61 29 -679.27604000 -0.21357507 20.78494000 -2.398951 45.14
62 29 -680.76940000 -0.20274142 20.17452000 -2.483426 43.95
63 29 -680.93529000 -0.19284998 21.92279000 -2.534599 47.72
64 29 -682.36489000 -0.17783864 21.09077000 -2.620301 45.44
65 29 -682.41590000 -0.14856773 22.79432000 -2.673333 47.25
66 29 -683.54586000 -0.12584713 22.11084000 -2.737530 46.56
67 29 -683.42812000 -0.10167379 23.47047000 -2.791989 49.05
68 29 -684.69366000 -0.06044366 22.33527000 -2.847747 47.73
69 29 -684.44828000 -0.05200859 23.96509000 -2.916769 50.15
70 29 -685.83728000 -0.01481567 22.74910000 -2.963744 50.96
38 30 -593.87004000 -0.12541227 NaN NaN NaN
39 30 -602.21631000 -0.05461013 NaN NaN NaN
40 30 -612.05815000 0.00007930 NaN NaN NaN
41 30 -618.32387000 -0.05018841 NaN NaN NaN
42 30 -626.28631000 0.07384905 NaN NaN NaN
43 30 -633.08217000 0.15316030 NaN NaN NaN
44 30 -641.05701000 0.18652733 1.85012000 3.280275 6.34
45 30 -647.60057000 0.19724338 3.95021000 2.464135 11.94
46 30 -654.45096000 0.20244368 4.25382000 1.927916 13.85
47 30 -659.82191000 0.18713476 6.54513000 1.392668 28.15
48 30 -665.35643000 0.15930166 7.17675000 1.112711 35.59
49 30 -670.00388000 0.10699213 8.97744000 1.188284 66.08
50 30 -675.89917000 0.00000446 8.13832000 1.175194 91.56
51 30 -678.13058000 0.12258145 11.98616000 -0.202235 48.52
52 30 -681.87766000 0.18674838 11.08472000 -0.630882 11.75
53 30 -684.24837000 0.20738933 12.83809000 -1.124793 17.86
54 30 -687.47888000 0.21897588 12.46229000 -1.411025 18.71
55 30 -689.50985000 0.23405297 14.26522000 -1.557949 24.36
56 30 -692.32666000 0.24285926 13.95113000 -1.724510 24.77
57 30 -693.68678000 0.24567415 16.04423000 -1.889650 31.11
58 30 -695.97145000 -0.25166829 15.60086000 -1.962072 34.32
59 30 -696.94388000 -0.23761360 17.50298000 -2.049173 39.44
60 30 -699.27898000 -0.23673611 16.50272000 -2.154128 35.65
61 30 -700.16192000 -0.23169260 18.43920000 -2.243427 38.22
62 30 -702.07608000 -0.21940694 17.83266000 -2.327047 37.93
63 30 -702.67366000 -0.23492461 19.53490000 -2.417014 40.42
64 30 -704.42822000 -0.20965277 18.88760000 -2.477644 40.67
65 30 -704.87470000 -0.21345405 20.51314000 -2.556146 43.03
66 30 -706.11659000 -0.20672753 20.08064000 -2.606923 43.11
67 30 -706.24693000 -0.16832341 21.68087000 -2.670225 44.60
68 30 -707.63137000 -0.06107707 20.53909000 -2.716375 44.52
69 30 -707.80438000 -0.04687508 21.81872000 -2.788303 47.27
70 30 -709.76000000 0.00000800 19.83452000 -2.831992 48.36
43 31 -642.12513000 0.15843771 3.14894000 3.262724 0.04
